Area,Price,Avg ratings
Naranpura,267.6333333333333,3.36
Narayan Nagar,200.0,4.1
Narayan Peth,325.0,3.6
Narayanguda,260.0,3.805263157894737
Narhe,400.0,3.3666666666666667
Naroda,250.0,2.9
Narol,400.0,4.1
Narolgam,240.0,3.6
Narotam Nagar,233.33333333333334,4.1499999999999995
Nava Naroda,300.0,4.6
Nava Vadaj,200.0,3.5
Navjivan,200.0,3.4499999999999997
Navrangpura,311.8560606060606,3.5727272727272723
Navsari Bazaar,185.0,3.533333333333333
Near 7 Point Crossing,700.0,4.3
Near City Centre 1 Petrol Pump,800.0,2.9
Near Gurudas Park,300.0,4.2
Near Lal Gate Ramlal Bazarsapuipara,300.0,4.1
Near Rto Pal Gam,300.0,2.9
Near Rupbani Cinema,500.0,4.4
Neelasandra,400.0,2.9
Nehru Stadium Dark Kitchen Metro Manor Sydenhams,300.0,4.2
Nehrunagar,250.0,2.9
New Alipore,335.29411764705884,3.829411764705882
New Area,350.0,2.9
New Gayatri Nagar,250.0,3.15
New Magdalla,480.0,3.6625
New Malakpet,292.85714285714283,3.7285714285714286
New Mallepally,175.0,3.85
New Nallakunta,272.72727272727275,4.009090909090909
New Rander Road,400.0,3.6
New Textile Market,300.0,3.5
New Tippasandra,250.0,3.933333333333333
Nibm Post Office Road,400.0,2.9
Noble Nagar Tenament,300.0,4.0
North Dumdum,235.71428571428572,3.5714285714285716
Nsp,290.625,3.34375
Nungambakkam,452.15686274509807,3.9235294117647057
Odhav,200.0,4.4
Old Malakpet,255.55555555555554,3.933333333333333
Old Mla Quarters,300.0,4.0
Old Sangvi,333.3333333333333,3.733333333333333
Old Wadaj,550.0,2.9
Old Wasermenpet,300.0,2.9
Old Washermanpet,294.7368421052632,3.663157894736842
Opp Padmashree Movie Hall,400.0,3.5
Pacific Mall Subhash Nagar,1200.0,4.2
Padma Nagar Colony,100.0,4.2
Padmarao Nagar,243.75,3.725
Paharganj,250.0,2.9
Paikpara,258.3333333333333,3.966666666666667
Pal Gam,350.0,3.8
Palanpur,250.0,4.15
Palanpur Jakatnaka,250.0,4.1
Palanpur Patia,225.0,3.3499999999999996
Paldi,342.0,3.748
Paldi & Ambawadi,328.0,3.375
Panjarapole Cross Road,500.0,2.9
Pankaj Nagar,166.66666666666666,4.4
Park Circus,387.5,2.9
Park Street Area,583.7931034482758,4.103448275862069
Parvat Patiya,181.25,3.9000000000000004
Parvati,150.0,4.2
Parvati Paytha,285.0,3.7299999999999995
Paschim Vihar,395.7903225806452,3.5258064516129033
Pashan,486.3636363636364,3.7636363636363637
Patel  Nagar,200.0,2.9
Patel Nagar,287.5,3.6
Pathar Gatti,250.0,3.6
Pcmc,350.0,2.9
Peeragarhi Camp,200.0,3.6
Peerzadiguda,300.0,2.9
Perambur,269.70786516853934,3.497752808988764
Peravallur,250.0,4.1
Periyamet,258.3333333333333,3.9499999999999997
Phoenix Mall,200.0,2.9
Picnic Garden,100.0,2.9
Piplod,286.71875,3.3640624999999997
Pitam Pura,279.72222222222223,3.7083333333333335
Pitampara,250.0,2.9
Pitampura,316.6666666666667,3.6166666666666667
Pocket C-11 Sector 5 Rohini,300.0,2.9
Ponniammanmedu,260.0,3.84
Poongavanapuram,300.0,4.0
Powai,353.84615384615387,3.35054945054945
Powai Area,797.7272727272727,4.040909090909091
Powaiandheri East,200.0,4.1
Prahlad Nagar,289.09090909090907,3.4
Prashant Vihar,200.0,3.6
Prashant Vihar Rohini,342.85714285714283,4.057142857142857
Pulikeshi Nagar,409.6190476190476,4.142857142857143
Puna Patia,200.0,2.9
Punjab Bagh,200.0,2.7
Punjabi Bagh,632.1428571428571,3.621428571428571
Punjagutta,350.0,4.047058823529412
Purasaiwakkam,330.7692307692308,3.871794871794872
Purasawalkam,290.8636363636364,3.2363636363636363
Purba Barisha,500.0,2.9
R.T. Nagar,216.66666666666666,3.233333333333333
Ra Puram,250.0,4.6
Rabindra Sarovar,250.0,3.4
Rabindrapally,150.0,2.9
Raikhad,350.0,3.8
